basic_trend_following,basic_mean_reversion,basic_breakout,basic_momentum,portfolio_enhanced_momentum,portfolio_enhanced_trend,portfolio_enhanced_breakout,portfolio_enhanced_mean_reversion
63946075.13214111,63466756.775877476,63966534.20147228,63461460.90895062,949569.1849940354,1000000.0,1000000.0,1000000.0
63933316.98195267,63918302.38124398,63963130.72752762,63424236.0379675,940575.7318714196,1000000.0,1000000.0,1000000.0
63968038.95485306,63530440.06953873,63963130.72752762,63434880.25495988,939892.464093023,1000000.0,1000000.0,1000000.0
63957466.76122379,63343137.35236664,63982055.41319084,63462345.809850276,923580.1011028821,1000000.0,1000000.0,1000000.0
64140494.64371586,65578870.52859194,64008713.438079834,63832980.60137421,917900.1998724276,1000000.0,1000000.0,1000000.0
64177867.79988253,65348433.032197535,63993559.22888899,63713265.728729784,902434.4875940615,998579.5321044922,984662.8314666748,1000000.0
64137431.39612472,65230178.70262322,63925327.27157259,63591228.972990334,896449.9629587466,987192.9456558228,949567.0226364136,1000000.0
64104644.68541753,64823453.10386381,63880470.50964737,63372024.978268206,882388.1927408511,980127.1823387146,943572.7753601074,1000000.0
64309881.6015383,65123132.35813297,63893117.36104202,63563683.39263207,888838.0538381869,979834.1396865845,943925.3108291626,1000000.0
64497453.01845682,65426042.01451817,63882223.38041878,63599803.17411992,901076.3893827731,979365.6711463928,938988.9108657837,1000000.0
65289124.67390633,66812997.85245376,63935034.88957739,64275457.99716468,937549.159028464,994350.7061004639,938988.9108657837,1000000.0
64762633.31621458,66033797.42154746,63869974.95552254,64081019.02462077,913934.5212988192,990785.0530815125,930816.2757701874,1000000.0
64868221.24544363,66143675.47821239,63957734.51664877,64328971.34667991,913711.735370093,1000721.6682548523,935204.4013957977,1000000.0
65385306.77439068,67017663.7921806,64110015.0377202,64893556.88850844,928994.8923849398,989761.5391082764,954962.9491987228,1000000.0
65710253.59326619,67353137.88785295,64375101.91072273,65682278.07838789,940463.0078195864,985383.3008346558,971804.7018508911,1000000.0
65747755.70588588,67209125.91238023,64416854.615706265,65648555.962770715,944025.1950582797,975576.5651245117,973162.5688581467,1000000.0
65628593.46618718,67251951.1934498,64248581.539836645,65346628.67640108,941726.1507334048,965292.2706680298,975922.7273054123,1000000.0
66116238.81759308,67618523.99939828,64578298.9547258,65757311.618438505,957340.0070223147,976610.1270275116,1059561.4890851974,1000000.0
65360458.03406753,67252347.76323012,64189365.26253623,64908838.65102055,926722.0121034915,951963.798582077,1033564.2170543671,1000000.0
65498518.84829536,67379700.34411518,64200091.12102246,65001350.447273515,957050.3917230899,957122.8388786316,1062813.4008865356,1000000.0
65535481.98633434,67488184.39174773,64311702.90724641,65219306.77338006,967714.6187586123,959037.2253074646,1067743.7286481857,1000000.0
65870741.26555821,67843941.9804678,64265479.63176465,65411553.58297851,960895.051890784,961383.8154621124,1070381.7089309692,1000000.0
64651727.683039464,67335671.38461125,63518977.39740372,64204044.25886061,931545.4177793795,915485.5111932755,1023018.3527965546,1000000.0
65180009.28335522,67619787.15980315,63896537.882819176,64768869.59091117,937397.4502500826,928185.5509910583,1028787.6648082733,1000000.0
64624708.19554114,67551838.0030843,63454012.44162975,64169378.7676739,941344.3735180432,922690.5664157867,1006801.2176929998,1000000.0
64843786.0725347,67721193.31124555,63650475.558060475,64545866.66157558,938540.5929426486,938803.2202548981,1010398.3664027109,1000000.0
65208324.462355316,68067262.70655882,63855941.03259926,65069684.689925514,972377.3313547904,946977.7879486084,1026379.4111388596,1000000.0
65941896.63934192,68535456.69071299,64523983.46003067,66046094.71773764,1020616.0521442229,962614.3803386688,1039018.9861116677,1000000.0
66226836.422610834,68537074.83500361,64725078.67150651,66302714.6095409,1064422.0548888976,951875.5169410706,1050019.686621737,1000000.0
65909431.50166106,68389254.42672452,64405781.77812338,66053270.12192925,1051069.8431045348,952859.4704170227,1039421.8072217624,1000000.0
65636449.46456524,68171379.48383194,64044993.025010414,65624634.63942226,1046430.7720405394,948531.0483798981,1048496.6941171966,1000000.0
65723663.90912928,68159345.20366561,64026418.20708037,65751701.307349645,1034188.2250663573,953588.7241325378,1055094.7098275912,1000000.0
65062786.07781333,67861123.08762605,63545729.49825774,64990928.56087067,1007540.9303390319,933002.8041801453,1049214.7496321478,1000000.0
65097471.846006304,67839494.26258805,63721016.88232288,65131218.72917541,1012710.214730435,928649.2400021553,1051349.814106496,1000000.0
65509575.515799016,68002505.22687608,64080738.95058672,65753933.79441627,1043734.7863246733,949940.923977375,1050643.6707156813,1000000.0
64969793.163686216,67347847.10588431,63259480.6459404,64709398.93971994,1021314.504797631,933590.0241007805,1031537.4169293188,1000000.0
64833926.02748209,67307488.42309892,63241599.41850567,64487818.33477732,1011448.6932598883,928410.2188153267,1025430.0315809225,1000000.0
65142759.46225489,67346460.63723743,63517909.93634535,64858609.16820743,997924.573045426,946785.4819331169,1035436.8268501064,1000000.0
64847513.872623384,67139660.2183908,63047307.760303855,64364389.65396073,978195.2085000807,935662.376932621,1025788.2907298665,1020540.5734658241
65065449.48360004,67320360.82185322,63395588.06006622,64724613.565971695,952681.1401740843,944258.8316493034,1029036.6290760867,1028243.173623085
65502990.00833829,67535917.82936725,64162239.70453162,65657238.18264159,945886.5596713359,977865.8288712502,1054886.629681193,1024391.8381929398
65148476.447015874,67422613.87590149,63829496.38118222,65225936.236227594,934774.0327319438,979543.2075800896,1052687.879147235,1061621.5082883835
64981660.82765311,67197983.87093589,63486882.79461352,65043377.93244176,900172.7228723401,967813.1509985924,1053035.043547458,1028243.173623085
65044469.329767674,67401747.35028628,63611802.56626409,65083849.77185493,899698.3404718274,987031.3715029955,1049694.6180814384,1052081.7051682472
65363937.990521714,67755102.82162303,63974572.84479421,65323280.11594825,888962.5902963514,986195.8554888964,1063265.8896346907,1055409.1648573875
65790480.42913715,67968419.85684328,64403460.33445816,65941473.14074784,901074.9427247876,996167.0019961596,1064436.9355002865,1058182.0872211456
65796005.455039926,67675239.8925676,64287376.79592935,65858533.44636183,908063.7016855115,999913.4698764086,1060919.5793835716,1084026.8350162506
65477174.530359946,67109234.88138366,63813777.528510876,65338803.36649471,895523.4968057508,1006692.4338167906,1058999.605818491,1082773.6557292938
65443402.5830202,66847060.464782126,63704235.557870276,65250747.454555325,905857.8389631147,1000602.2125959396,1043263.189735034,1082508.1148452759
64855654.42045143,65985703.8252526,62908415.02020761,64592760.41568404,885408.3764196271,975107.2047446966,1030861.0299436686,1081082.0810546875
64935902.41477707,66020057.572875865,62957099.550596945,64635807.10500508,881486.6048603887,959686.6643794775,1030248.6703788874,1081082.0810546875
